Batter,MATCHES,INNS,RUNS,90s,50s,H.S
David Warner,14,14,562,1,7,91
Lendl Simmons,13,13,540,0,6,71
Ajinkya Rahane,14,13,540,1,4,91
Shreyas Iyer,14,14,439,0,4,83
Jean-Paul Duminy,14,13,414,0,4,78
Virat Kohli,16,16,505,0,3,82
Rohit Sharma,16,16,482,1,3,98
Shikhar Dhawan,14,14,353,0,3,54
Gautam Gambhir,13,13,327,0,3,60
Andre Russell,13,11,326,0,3,66
AB de Villiers,16,14,513,0,2,133
Chris Gayle,14,14,491,1,2,117
Brendon McCullum,14,14,436,0,2,100
Kieron Pollard,16,14,419,0,2,70
Dwayne Smith,16,16,399,0,2,62
