Batter,MATCHES,INNS,RUNS,6s
Chris Gayle,14,14,491,38
Kieron Pollard,16,14,419,28
Virat Kohli,16,16,505,23
Brendon McCullum,14,14,436,23
AB de Villiers,16,14,513,22
David Warner,14,14,562,21
Lendl Simmons,13,13,540,21
Rohit Sharma,16,16,482,21
Shreyas Iyer,14,14,439,21
David Miller,13,13,357,21
Jean-Paul Duminy,14,13,414,20
Andre Russell,13,11,326,19
MS Dhoni,17,17,372,17
Dwayne Smith,16,16,399,16
Suresh Raina,17,17,374,16
