Batter,MATCHES,INNS,RUNS,Avg,NO
Albie Morkel,4,3,86,86.00,2
Ajinkya Rahane,14,13,540,49.09,2
AB de Villiers,16,14,513,46.64,3
Virat Kohli,16,16,505,45.91,5
Lendl Simmons,13,13,540,45.00,1
Yusuf Pathan,13,12,312,44.57,5
Shane Watson,10,9,347,43.38,1
David Warner,14,14,562,43.23,1
Jean-Paul Duminy,14,13,414,41.40,3
Moises Henriques,9,9,287,41.00,2
Chris Gayle,14,14,491,40.92,2
Quinton de Kock,3,3,122,40.67,0
Kieron Pollard,16,14,419,38.09,3
Chris Morris,11,7,76,38.00,5
Corey Anderson,4,4,114,38.00,1
