Batter,RUNS,Balls,SR,Vs,4s,6s
AB de Villiers,133,59,225.42,Mumbai Indians,19,4
Chris Gayle,117,57,205.26,Punjab Kings,7,12
Shane Watson,104,59,176.27,Kolkata Knight Riders,9,5
Brendon McCullum,100,56,178.57,Sunrisers Hyderabad,7,9
Rohit Sharma,98,65,150.77,Kolkata Knight Riders,12,4
Chris Gayle,96,56,171.43,Kolkata Knight Riders,7,7
Ajinkya Rahane,91,54,168.52,Delhi Capitals,9,3
David Warner,91,55,165.45,Kolkata Knight Riders,9,4
David Miller,89,44,202.27,Sunrisers Hyderabad,2,9
Shreyas Iyer,83,56,148.21,Mumbai Indians,7,5
Virat Kohli,82,50,164.00,Mumbai Indians,6,4
David Warner,81,52,155.77,Punjab Kings,6,5
Brendon McCullum,81,61,132.79,Rajasthan Royals,7,4
Robin Uthappa,80,58,137.93,Chennai Super Kings,7,1
Steven Smith,79,53,149.06,Mumbai Indians,8,1
