PLAYER,MATCHES,INNS,RUNS,AVG,SR,4s,6s
David Warner,14,14,562,43.23,156.55,65,21
Ajinkya Rahane,14,13,540,49.09,130.75,53,13
Lendl Simmons,13,13,540,45.00,122.45,56,21
AB de Villiers,16,14,513,46.64,175.09,60,22
Virat Kohli,16,16,505,45.91,130.83,35,23
Chris Gayle,14,14,491,40.92,147.45,39,38
Rohit Sharma,16,16,482,34.43,144.74,41,21
Shreyas Iyer,14,14,439,33.77,128.36,41,21
Brendon McCullum,14,14,436,33.54,155.71,51,23
Kieron Pollard,16,14,419,38.09,163.67,28,28
Jean-Paul Duminy,14,13,414,41.40,131.43,27,20
Dwayne Smith,16,16,399,24.94,119.10,52,16
Faf du Plessis,17,15,380,29.23,125.00,37,5
Suresh Raina,17,17,374,24.93,122.62,31,16
MS Dhoni,17,17,372,31.00,121.97,27,17
