PLAYER,MATCHES,INNS,RUNS,AVG,SR,4s,6s
Jos Buttler,17,17,863,57.53,149.05,83,45
KL Rahul,15,15,616,51.33,135.38,45,30
Quinton de Kock,15,15,508,36.29,148.97,47,23
Hardik Pandya,15,15,487,44.27,131.27,49,12
Shubman Gill,16,16,483,34.50,132.33,51,11
David Miller,16,16,481,68.71,142.73,32,23
Faf du Plessis,16,16,468,31.20,127.52,49,13
Shikhar Dhawan,14,14,460,38.33,122.67,47,12
Sanju Samson,17,17,458,28.62,146.79,43,26
Deepak Hooda,15,14,451,32.21,136.67,36,18
Liam Livingstone,14,14,437,36.42,182.08,29,34
David Warner,12,12,432,48.00,150.52,52,15
Abhishek Sharma,14,14,426,30.43,133.13,47,13
Ishan Kishan,14,14,418,32.15,120.11,45,11
Rahul Tripathi,14,14,413,37.55,158.24,40,20
