Batter,MATCHES,INNS,RUNS,90s
Shubman Gill,16,16,483,1
David Miller,16,16,481,1
Faf du Plessis,16,16,468,1
David Warner,12,12,432,1
Ruturaj Gaikwad,14,14,368,1
Shivam Dube,11,11,289,1
Moeen Ali,10,10,244,1
