Batter,MATCHES,INNS,RUNS,Avg,SR
Pat Cummins,5,5,63,15.75,262.50
Tim David,8,8,186,37.20,216.28
Rashid Khan,16,8,91,22.75,206.82
Dinesh Karthik,16,16,330,55.00,183.33
Liam Livingstone,14,14,437,36.42,182.08
Sunil Narine,14,10,71,8.88,177.50
Andre Russell,14,12,335,37.22,174.48
Glenn Maxwell,13,13,301,27.36,169.10
Jitesh Sharma,12,10,234,29.25,163.64
Bhanuka Rajapaksa,9,9,206,22.89,159.69
Jaydev Unadkat,5,5,59,19.67,159.46
Rahul Tripathi,14,14,413,37.55,158.24
Shivam Dube,11,11,289,28.90,156.22
Shimron Hetmyer,15,15,314,44.86,153.92
Prithvi Shaw,10,10,283,28.30,152.97
