Batter,MATCHES,INNS,RUNS,4s
Jos Buttler,17,17,863,83
David Warner,12,12,432,52
Shubman Gill,16,16,483,51
Hardik Pandya,15,15,487,49
Faf du Plessis,16,16,468,49
Quinton de Kock,15,15,508,47
Shikhar Dhawan,14,14,460,47
Abhishek Sharma,14,14,426,47
KL Rahul,15,15,616,45
Ishan Kishan,14,14,418,45
Sanju Samson,17,17,458,43
Shreyas Iyer,14,14,401,41
Rahul Tripathi,14,14,413,40
Devdutt Padikkal,17,17,376,40
Wriddhiman Saha,11,11,317,40
