Batter,RUNS,Balls,SR,Vs,4s,6s
Quinton de Kock,140,70,200.00,Kolkata Knight Riders,10,10
Jos Buttler,116,65,178.46,Delhi Capitals,9,9
Rajat Patidar,112,54,207.41,Lucknow Super Giants,12,7
Jos Buttler,106,60,176.67,Royal Challengers Bengaluru,10,6
KL Rahul,103,60,171.67,Mumbai Indians,9,5
Jos Buttler,103,61,168.85,Kolkata Knight Riders,9,5
KL Rahul,103,62,166.13,Mumbai Indians,12,4
Jos Buttler,100,68,147.06,Mumbai Indians,11,5
Ruturaj Gaikwad,99,57,173.68,Sunrisers Hyderabad,6,6
Shubman Gill,96,59,162.71,Punjab Kings,11,1
Faf du Plessis,96,64,150.00,Lucknow Super Giants,11,2
Shivam Dube,95,46,206.52,Royal Challengers Bengaluru,5,8
David Miller,94,51,184.31,Chennai Super Kings,8,6
Moeen Ali,93,57,163.16,Rajasthan Royals,13,3
David Warner,92,58,158.62,Sunrisers Hyderabad,12,3
