Batter,MATCHES,INNS,RUNS,90s,50s,H.S
David Warner,12,12,432,1,5,92
Jos Buttler,17,17,863,0,4,116
KL Rahul,15,15,616,0,4,103
Hardik Pandya,15,15,487,0,4,87
Shubman Gill,16,16,483,1,4,96
Deepak Hooda,15,14,451,0,4,59
Liam Livingstone,14,14,437,0,4,70
Quinton de Kock,15,15,508,0,3,140
Faf du Plessis,16,16,468,1,3,96
Shikhar Dhawan,14,14,460,0,3,88
Ishan Kishan,14,14,418,0,3,81
Rahul Tripathi,14,14,413,0,3,76
Shreyas Iyer,14,14,401,0,3,85
Aiden Markram,14,12,381,0,3,68
Ruturaj Gaikwad,14,14,368,1,3,99
