Batter,MATCHES,INNS,RUNS,6s
Jos Buttler,17,17,863,45
Liam Livingstone,14,14,437,34
Andre Russell,14,12,335,32
KL Rahul,15,15,616,30
Sanju Samson,17,17,458,26
Quinton de Kock,15,15,508,23
David Miller,16,16,481,23
Nitish Rana,14,14,361,22
Dinesh Karthik,16,16,330,22
Rovman Powell,14,12,250,22
Shimron Hetmyer,15,15,314,21
Nicholas Pooran,14,13,306,21
Rahul Tripathi,14,14,413,20
Aiden Markram,14,12,381,19
Deepak Hooda,15,14,451,18
