Batter,MATCHES,INNS,RUNS,Avg,NO
David Miller,16,16,481,68.71,9
Jos Buttler,17,17,863,57.53,2
Rajat Patidar,8,7,333,55.50,1
Dinesh Karthik,16,16,330,55.00,10
KL Rahul,15,15,616,51.33,3
David Warner,12,12,432,48.00,3
Aiden Markram,14,12,381,47.62,4
Axar Patel,13,10,182,45.50,6
Shimron Hetmyer,15,15,314,44.86,8
Hardik Pandya,15,15,487,44.27,4
Suryakumar Yadav,8,8,303,43.29,1
Devon Conway,7,7,252,42.00,1
Shikhar Dhawan,14,14,460,38.33,2
Nicholas Pooran,14,13,306,38.25,5
Rahul Tripathi,14,14,413,37.55,3
