Bowler,MATCHES,OVERS,WKTS,SR
Mark Wood,4,16.0,11,8.73
Mohit Sharma,14,44.1,27,9.81
Mitchell Marsh,9,20.1,12,10.08
Akash Madhwal,8,25.3,14,10.93
Michael Bracewell,5,11.0,6,11.00
Karn Sharma,7,21.3,10,12.90
Andre Russell,14,15.1,7,13.00
Mohammed Shami,17,65.0,28,13.93
Matheesha Pathirana,12,46.2,19,14.63
Yash Thakur,9,31.5,13,14.69
Rashid Khan,17,67.0,27,14.89
Ishant Sharma,8,25.0,10,15.00
Yuzvendra Chahal,14,52.5,21,15.10
Naveen-ul-Haq,8,28.0,11,15.27
Deepak Chahar,10,34.0,13,15.69
