Bowler,MATCHES,OVERS,INNS,WKTS,Eco,Avg,SR
Axar Patel,14,47.0,13,11,7.19,30.73,25.64
Kuldeep Yadav,14,49.0,14,10,7.37,36.10,29.40
Mohammed Siraj,14,50.0,14,19,7.50,19.74,15.79
Ravichandran Ashwin,13,49.0,13,14,7.51,26.29,21.00
Ravindra Jadeja,16,57.0,16,20,7.56,21.55,17.10
Ravi Bishnoi,15,50.3,14,16,7.74,24.44,18.94
Noor Ahmad,13,47.1,13,16,7.82,23.06,17.69
Naveen-ul-Haq,8,28.0,7,11,7.82,19.91,15.27
Mayank Markande,10,38.0,10,12,7.89,25.00,19.00
Sunil Narine,14,48.0,14,11,7.98,34.82,26.18
Maheesh Theekshana,13,49.0,13,11,8.00,35.64,26.73
Matheesha Pathirana,12,46.2,12,19,8.01,19.53,14.63
Mohammed Shami,17,65.0,17,28,8.02,18.61,13.93
Piyush Chawla,16,61.0,16,22,8.11,22.50,16.64
Mark Wood,4,16.0,4,11,8.12,11.82,8.73
