Bowler,Vs,OVS,RUNS,WKTS,BBI,MAIDENS,ECON
Akash Madhwal,Lucknow Super Giants,3.3,5,5,5-5,0,1.52
Mohit Sharma,Mumbai Indians,2.2,10,5,5-10,0,4.55
Mark Wood,Delhi Capitals,4.0,14,5,5-14,0,3.50
Bhuvneshwar Kumar,Gujarat Titans,4.0,30,5,5-30,0,7.50
Mohammed Shami,Delhi Capitals,4.0,11,4,4-11,0,2.75
Varun Chakaravarthy,Royal Challengers Bengaluru,3.4,15,4,4-15,0,4.41
Mayank Markande,Punjab Kings,4.0,15,4,4-15,0,3.75
Yuzvendra Chahal,Sunrisers Hyderabad,4.0,17,4,4-17,0,4.25
Mohammed Shami,Sunrisers Hyderabad,4.0,20,4,4-20,0,5.00
Mohammed Siraj,Punjab Kings,4.0,21,4,4-21,0,5.25
Yuzvendra Chahal,Kolkata Knight Riders,4.0,25,4,4-25,0,6.25
Moeen Ali,Lucknow Super Giants,4.0,26,4,4-26,0,6.50
Mitchell Marsh,Sunrisers Hyderabad,4.0,27,4,4-27,1,6.75
Mohit Sharma,Sunrisers Hyderabad,4.0,28,4,4-28,0,7.00
Arshdeep Singh,Mumbai Indians,4.0,29,4,4-29,0,7.25
