Bowler,MATCHES,OVERS,WKTS,Avg
Mark Wood,4,16.0,11,11.82
Mohit Sharma,14,44.1,27,13.37
Mitchell Marsh,9,20.1,12,14.17
Akash Madhwal,8,25.3,14,15.64
Michael Bracewell,5,11.0,6,15.83
Mohammed Shami,17,65.0,28,18.61
Matheesha Pathirana,12,46.2,19,19.53
Mohammed Siraj,14,50.0,19,19.74
Naveen-ul-Haq,8,28.0,11,19.91
Rashid Khan,17,67.0,27,20.44
Yuzvendra Chahal,14,52.5,21,20.57
Ishant Sharma,8,25.0,10,20.60
Amit Mishra,7,19.0,7,21.29
Varun Chakaravarthy,14,52.4,20,21.45
Ravindra Jadeja,16,57.0,20,21.55
