Bowler,MATCHES,Overs,RUNS,WKTS,4-FERS,5-FERS
Mohit Sharma,14,44.1,361,27,2,1
Bhuvneshwar Kumar,14,51.0,425,16,0,1
Akash Madhwal,8,25.3,219,14,1,1
Mark Wood,4,16.0,130,11,0,1
