PLAYER,MATCHES,OVERS,BALLS,WKTS,Avg,RUNS,4-FERS,5-FERS
Mohammed Shami,17,65.0,390,28,18.61,521,2,0
Mohit Sharma,14,44.1,265,27,13.37,361,2,1
Rashid Khan,17,67.0,402,27,20.44,552,1,0
Piyush Chawla,16,61.0,366,22,22.50,495,0,0
Yuzvendra Chahal,14,52.5,317,21,20.57,432,3,0
Tushar Deshpande,16,56.5,341,21,26.86,564,0,0
Ravindra Jadeja,16,57.0,342,20,21.55,431,0,0
Varun Chakaravarthy,14,52.4,316,20,21.45,429,1,0
Mohammed Siraj,14,50.0,300,19,19.74,375,1,0
Matheesha Pathirana,12,46.2,278,19,19.53,371,0,0
Arshdeep Singh,14,50.5,305,17,29.00,493,1,0
Ravi Bishnoi,15,50.3,303,16,24.44,391,0,0
Noor Ahmad,13,47.1,283,16,23.06,369,0,0
Bhuvneshwar Kumar,14,51.0,306,16,26.56,425,0,1
Ravichandran Ashwin,13,49.0,294,14,26.29,368,0,0
