Bowler,MATCHES,OVERS,WKTS,SR
Brad Hodge,14,11.0,7,9.43
Mitchell Marsh,5,14.1,7,12.14
Sreenath Aravind,13,46.0,21,13.14
Lasith Malinga,16,63.0,28,13.50
Shakib Al Hasan,7,25.3,11,13.91
Munaf Patel,15,54.2,22,14.82
Shaun Tait,4,14.5,6,14.83
Shalabh Srivastava,6,20.0,8,15.00
Piyush Chawla,12,41.2,16,15.50
Doug Bollinger,13,47.0,17,16.59
Amit Mishra,14,53.2,19,16.84
Ryan Harris,13,47.0,16,17.62
Albie Morkel,15,45.0,15,18.00
Yusuf Pathan,15,39.0,13,18.00
Jaydev Unadkat,7,18.0,6,18.00
