Bowler,MATCHES,OVERS,INNS,WKTS,Eco,Avg,SR
Rahul Sharma,14,50.0,14,16,5.46,17.06,18.75
Lasith Malinga,16,63.0,16,28,5.95,13.39,13.50
Daniel Vettori,13,51.4,13,12,6.02,25.92,25.83
Iqbal Abdulla,15,50.0,15,16,6.10,19.06,18.75
Yusuf Pathan,15,39.0,14,13,6.10,18.31,18.00
Ravichandran Ashwin,16,63.0,16,20,6.16,19.40,18.90
Shane Warne,13,47.0,12,13,6.32,22.85,21.69
Rajat Bhatia,14,32.0,12,8,6.56,26.25,24.00
Dale Steyn,12,45.3,12,14,6.57,21.36,19.50
Munaf Patel,15,54.2,15,22,6.59,16.27,14.82
Yuvraj Singh,14,29.0,13,9,6.62,21.33,19.33
Amit Mishra,14,53.2,14,19,6.71,18.84,16.84
Chris Gayle,12,36.0,12,8,6.78,30.50,27.00
Shakib Al Hasan,7,25.3,7,11,6.86,15.91,13.91
RP Singh,14,50.0,14,13,6.90,26.54,23.08
