PLAYER,MATCHES,OVERS,BALLS,WKTS,Avg,RUNS,4-FERS,5-FERS
Lasith Malinga,16,63.0,378,28,13.39,375,0,1
Munaf Patel,15,54.2,326,22,16.27,358,0,1
Sreenath Aravind,13,46.0,276,21,17.52,368,1,0
Ravichandran Ashwin,16,63.0,378,20,19.40,388,0,0
Amit Mishra,14,53.2,320,19,18.84,358,1,0
Doug Bollinger,13,47.0,282,17,19.35,329,0,0
Rahul Sharma,14,50.0,300,16,17.06,273,0,0
Iqbal Abdulla,15,50.0,300,16,19.06,305,0,0
Piyush Chawla,12,41.2,248,16,21.00,336,1,0
Ryan Harris,13,47.0,282,16,23.88,382,0,0
Albie Morkel,15,45.0,270,15,25.47,382,0,0
Dale Steyn,12,45.3,273,14,21.36,299,0,0
Harbhajan Singh,15,53.0,318,14,26.43,370,0,1
Zaheer Khan,15,59.0,354,14,32.50,455,0,0
Yusuf Pathan,15,39.0,234,13,18.31,238,0,0
