Bowler,Vs,OVS,RUNS,WKTS,BBI,MAIDENS,ECON
Ishant Sharma,Kochi Tuskers Kerala,3.0,12,5,5-12,0,4.00
Lasith Malinga,Delhi Capitals,3.4,13,5,5-13,1,3.82
Harbhajan Singh,Chennai Super Kings,4.0,18,5,5-18,0,4.50
Munaf Patel,Punjab Kings,4.0,21,5,5-21,0,5.25
Amit Mishra,Punjab Kings,4.0,9,4,4-9,1,2.25
Brad Hodge,Rajasthan Royals,4.0,13,4,4-13,0,3.25
Sreenath Aravind,Punjab Kings,4.0,14,4,4-14,0,3.50
Piyush Chawla,Royal Challengers Bengaluru,4.0,17,4,4-17,0,4.25
Bhargav Bhatt,Mumbai Indians,2.5,22,4,4-22,0,8.80
Mitchell Marsh,Deccan Chargers,4.0,25,4,4-25,0,6.25
RP Singh,Punjab Kings,4.0,25,4,4-25,0,6.25
Yuvraj Singh,Delhi Capitals,4.0,29,4,4-29,0,7.25
Paul Valthaty,Deccan Chargers,4.0,29,4,4-29,0,7.25
Johan Botha,Mumbai Indians,2.0,6,3,3-6,0,3.00
Munaf Patel,Pune Warriors,2.2,8,3,3-8,0,3.64
