Bowler,MATCHES,OVERS,WKTS,Avg
Brad Hodge,14,11.0,7,11.00
Lasith Malinga,16,63.0,28,13.39
Mitchell Marsh,5,14.1,7,14.14
Shakib Al Hasan,7,25.3,11,15.91
Munaf Patel,15,54.2,22,16.27
Rahul Sharma,14,50.0,16,17.06
Sreenath Aravind,13,46.0,21,17.52
Yusuf Pathan,15,39.0,13,18.31
Amit Mishra,14,53.2,19,18.84
Iqbal Abdulla,15,50.0,16,19.06
Doug Bollinger,13,47.0,17,19.35
Ravichandran Ashwin,16,63.0,20,19.40
Piyush Chawla,12,41.2,16,21.00
Shaun Tait,4,14.5,6,21.17
Yuvraj Singh,14,29.0,9,21.33
