Bowler,MATCHES,OVERS,INNS,WKTS,Eco,Avg,SR
Lakshmipathy Balaji,8,30.0,8,11,5.40,14.73,16.36
Sunil Narine,15,59.1,15,24,5.48,13.50,14.79
Dale Steyn,12,46.4,12,18,6.11,15.83,15.56
Lasith Malinga,14,55.3,14,22,6.31,15.91,15.14
Muthiah Muralidaran,10,40.0,10,15,6.50,17.33,16.00
Shakib Al Hasan,8,30.0,8,12,6.50,16.25,15.00
Ravichandran Ashwin,19,65.5,18,14,6.55,30.79,28.21
Ben Hilfenhaus,9,34.0,9,14,6.85,16.64,14.57
Praveen Kumar,16,63.0,16,9,6.89,48.22,42.00
Brad Hogg,9,36.0,9,10,7.03,25.30,21.60
Ashok Dinda,7,24.0,7,9,7.04,18.78,16.00
Morne Morkel,16,63.0,16,25,7.19,18.12,15.12
Ryan Harris,5,18.0,5,8,7.22,16.25,13.50
Johan Botha,11,41.0,11,9,7.24,33.00,27.33
Kevon Cooper,6,24.0,6,10,7.25,17.40,14.40
