Bowler,MATCHES,OVERS,WKTS,SR
Dhawal Kulkarni,2,8.0,6,8.00
Ryan Harris,5,18.0,8,13.50
Doug Bollinger,6,18.0,8,13.50
Dimitri Mascarenhas,4,16.0,7,13.71
Kevon Cooper,6,24.0,10,14.40
Ben Hilfenhaus,9,34.0,14,14.57
Sunil Narine,15,59.1,24,14.79
Ashish Reddy,9,27.1,11,14.82
Shakib Al Hasan,8,30.0,12,15.00
James Franklin,12,15.0,6,15.00
Morne Morkel,16,63.0,25,15.12
Lasith Malinga,14,55.3,22,15.14
Dale Steyn,12,46.4,18,15.56
Muthiah Muralidaran,10,40.0,15,16.00
Ashok Dinda,7,24.0,9,16.00
