PLAYER,MATCHES,OVERS,BALLS,WKTS,Avg,RUNS,4-FERS,5-FERS
Morne Morkel,16,63.0,378,25,18.12,453,1,0
Sunil Narine,15,59.1,355,24,13.50,324,1,1
Lasith Malinga,14,55.3,333,22,15.91,350,1,0
Umesh Yadav,17,61.0,366,19,23.84,453,0,0
Vinay Kumar,15,55.5,335,19,25.26,480,0,0
Dale Steyn,12,46.4,280,18,15.83,285,0,0
Zaheer Khan,16,60.0,360,17,26.65,453,0,0
Parvinder Awana,12,47.0,282,17,21.88,372,1,0
Piyush Chawla,16,57.0,342,16,26.19,419,0,0
Kieron Pollard,14,43.5,263,16,21.88,350,1,0
Muthiah Muralidaran,10,40.0,240,15,17.33,260,0,0
Jacques Kallis,17,54.0,324,15,26.87,403,0,0
Munaf Patel,12,46.4,280,15,24.47,367,2,0
Dwayne Bravo,19,57.4,346,15,30.80,462,0,0
Ravichandran Ashwin,19,65.5,395,14,30.79,431,0,0
