Bowler,MATCHES,Overs,RUNS,WKTS,4-FERS,5-FERS
Sunil Narine,15,59.1,324,24,1,1
Ravindra Jadeja,19,35.0,273,12,0,1
Dimitri Mascarenhas,4,16.0,105,7,0,1
