Bowler,MATCHES,OVERS,WKTS,Avg
Dhawal Kulkarni,2,8.0,6,10.67
Sunil Narine,15,59.1,24,13.50
Lakshmipathy Balaji,8,30.0,11,14.73
Dimitri Mascarenhas,4,16.0,7,15.00
Dale Steyn,12,46.4,18,15.83
Lasith Malinga,14,55.3,22,15.91
Shakib Al Hasan,8,30.0,12,16.25
Ryan Harris,5,18.0,8,16.25
Ben Hilfenhaus,9,34.0,14,16.64
Muthiah Muralidaran,10,40.0,15,17.33
Kevon Cooper,6,24.0,10,17.40
Morne Morkel,16,63.0,25,18.12
Ashok Dinda,7,24.0,9,18.78
Doug Bollinger,6,18.0,8,19.63
James Franklin,12,15.0,6,20.17
