Bowler,Vs,OVS,RUNS,WKTS,BBI,MAIDENS,ECON
Ravindra Jadeja,Deccan Chargers,4.0,16,5,5-16,0,4.00
Sunil Narine,Punjab Kings,4.0,19,5,5-19,0,4.75
Dimitri Mascarenhas,Pune Warriors,4.0,25,5,5-25,0,6.25
Ajit Chandila,Pune Warriors,4.0,13,4,4-13,0,3.25
Sunil Narine,Mumbai Indians,3.1,15,4,4-15,0,4.84
Lasith Malinga,Deccan Chargers,3.4,16,4,4-16,0,4.71
Pawan Negi,Rajasthan Royals,4.0,18,4,4-18,0,4.50
Lakshmipathy Balaji,Royal Challengers Bengaluru,4.0,18,4,4-18,1,4.50
Ashok Dinda,Mumbai Indians,4.0,18,4,4-18,0,4.50
KP Appanna,Rajasthan Royals,4.0,19,4,4-19,0,4.75
Munaf Patel,Deccan Chargers,4.0,20,4,4-20,0,5.00
Morne Morkel,Punjab Kings,4.0,20,4,4-20,0,5.00
Siddharth Trivedi,Royal Challengers Bengaluru,4.0,25,4,4-25,0,6.25
Kevon Cooper,Punjab Kings,4.0,26,4,4-26,0,6.50
Munaf Patel,Rajasthan Royals,3.4,28,4,4-28,0,8.24
