Bowler,Vs,OVS,RUNS,WKTS,BBI,MAIDENS,ECON
Alzarri Joseph,Sunrisers Hyderabad,3.4,12,6,6-12,1,3.53
Mohammad Nabi,Royal Challengers Bengaluru,4.0,11,4,4-11,0,2.75
Sam Curran,Delhi Capitals,2.2,11,4,4-11,0,5.00
Imran Tahir,Delhi Capitals,3.2,12,4,4-12,0,3.75
Kagiso Rabada,Royal Challengers Bengaluru,4.0,21,4,4-21,0,5.25
Kagiso Rabada,Sunrisers Hyderabad,3.5,22,4,4-22,0,6.29
Imran Tahir,Kolkata Knight Riders,4.0,27,4,4-27,0,6.75
Lasith Malinga,Royal Challengers Bengaluru,4.0,31,4,4-31,0,7.75
Lasith Malinga,Chennai Super Kings,3.4,37,4,4-37,0,10.88
Yuzvendra Chahal,Mumbai Indians,4.0,38,4,4-38,0,9.50
Imran Tahir,Royal Challengers Bengaluru,4.0,9,3,3-9,1,2.25
Ravindra Jadeja,Delhi Capitals,3.0,9,3,3-9,0,3.00
Shreyas Gopal,Royal Challengers Bengaluru,1.0,12,3,3-12,0,12.00
Shreyas Gopal,Royal Challengers Bengaluru,4.0,12,3,3-12,1,3.00
Jofra Archer,Punjab Kings,4.0,15,3,3-15,0,3.75
