Bowler,MATCHES,OVERS,WKTS,Avg
Alzarri Joseph,3,8.4,6,14.50
Kagiso Rabada,12,47.0,25,14.72
Khaleel Ahmed,9,34.5,19,15.11
Imran Tahir,17,64.2,26,16.58
Shreyas Gopal,14,48.0,20,17.35
Harbhajan Singh,11,44.0,16,19.50
Yuzvendra Chahal,14,49.2,18,21.44
Jasprit Bumrah,16,61.4,19,21.53
Deepak Chahar,17,64.3,22,21.91
Rashid Khan,15,60.0,17,22.18
Ravindra Jadeja,16,54.0,15,22.87
Chris Morris,9,33.0,13,23.54
Rahul Chahar,13,47.0,13,23.69
Mohammad Nabi,8,29.1,8,24.25
Amit Mishra,11,40.0,11,24.55
