Bowler,MATCHES,OVERS,WKTS,SR
Alzarri Joseph,3,8.4,6,8.67
Khaleel Ahmed,9,34.5,19,11.00
Kagiso Rabada,12,47.0,25,11.28
Shreyas Gopal,14,48.0,20,14.40
Imran Tahir,17,64.2,26,14.85
Chris Morris,9,33.0,13,15.23
Yuzvendra Chahal,14,49.2,18,16.44
Andre Russell,14,30.1,11,16.45
Harbhajan Singh,11,44.0,16,16.50
Lasith Malinga,12,44.5,16,16.81
Ben Stokes,9,16.5,6,16.83
Mohammed Shami,14,54.0,19,17.05
Sandeep Lamichhane,6,23.0,8,17.25
Deepak Chahar,17,64.3,22,17.59
Keemo Paul,8,27.1,9,18.11
