Bowler,MATCHES,OVERS,INNS,WKTS,Eco,Avg,SR
Rashid Khan,15,60.0,15,17,6.28,22.18,21.18
Ravindra Jadeja,16,54.0,16,15,6.35,22.87,21.60
Rahul Chahar,13,47.0,13,13,6.55,23.69,21.69
Jasprit Bumrah,16,61.4,16,19,6.63,21.53,19.47
Mohammad Nabi,8,29.1,8,8,6.65,24.25,21.88
Imran Tahir,17,64.2,17,26,6.70,16.58,14.85
Amit Mishra,11,40.0,11,11,6.75,24.55,21.82
Jofra Archer,11,43.0,11,11,6.77,26.45,23.45
Harbhajan Singh,11,44.0,11,16,7.09,19.50,16.50
Axar Patel,14,51.0,14,10,7.14,36.40,30.60
Shreyas Gopal,14,48.0,14,20,7.23,17.35,14.40
Ravichandran Ashwin,14,55.0,14,15,7.27,26.67,22.00
Krunal Pandya,16,46.0,16,12,7.28,27.92,23.00
Deepak Chahar,17,64.3,17,22,7.47,21.91,17.59
Ishant Sharma,13,46.0,13,13,7.59,26.85,21.23
